query,product,label
# 2 pencils not sharpened,"Ticonderoga Beginner Pencils, Wood-Cased #2 HB Soft, With Eraser, Yellow, 12-Pack (13308)",exact
# 2 pencils not sharpened,"TICONDEROGA Tri-Write Triangular Pencils, Standard Size Wood-Cased #2 HB Soft, Yellow, 8-Pack (13852)",exact
# 2 pencils not sharpened,"TICONDEROGA Pencils, Wood-Cased, Unsharpened, Graphite #2 HB Soft, Yellow, 96-Pack (13872)",exact
# 2 pencils not sharpened,"Ticonderoga Pencils, Wood-Cased Graphite #2 HB Soft, Yellow, 12-Pack (13882)",exact
# 2 pencils not sharpened,"Ticonderoga Laddie Pencils, Wood-Cased #2 HB Soft with Eraser, Yellow, 12-Pack (13304), 11/32 inch",exact
# 2 pencils not sharpened,"iScholar Gross Pack Pencils, #2, Yellow, Box of 144 (33144)",exact
# 2 pencils not sharpened,"Ticonderoga Pencils, Wood-Cased, Graphite #2 HB Soft, Black, 24-Pack (13926)",substitute
# 2 pencils not sharpened,"Dixon No. 2 Yellow Pencils, Wood-Cased, Black Core, 12-Count (14402)",exact
# 2 pencils not sharpened,"Maped Black'Peps Triangular Graphite #2 Pencils, Pack of 12 (851749ZV)",irrelevant
# 2 pencils not sharpened,"Ticonderoga Wood-Cased Pencils, #2 HB Soft, Pre-Sharpened, Neon, 10 Count (X13810)",exact
# 2 pencils not sharpened,"BIC Xtra-Fun Graphite Pencil, 2 Lead, 18-Count",substitute
# 2 pencils not sharpened,"Amazon Basics Woodcased #2 Pencils, Unsharpened, HB Lead - Box of 144, Bulk Box",exact
# 2 pencils not sharpened,"Arteza HB Pencils #2, Pack of 48, Wood-Cased Graphite Pencils in Bulk, Pre-Sharpened, with Latex-Free Erasers, Office & School Supplies for Exams and Classrooms",complement
# 2 pencils not sharpened,"BAZIC Pencil #2 HB Pencils, Latex Free Eraser, Wood Free Yellow Unsharpened Pencils for Exam School Office (12/Pack), 1-Pack",exact
# 2 pencils not sharpened,"SKKSTATIONERY Half Pencils with Eraser Tops, Golf, Classroom, Pew - #2 HB, Hexagon, Pre-sharpened, 96/Box.",substitute
# 2 pencils not sharpened,"Emraw Pre Sharpened No 2 HB Wood Cased Premium Pencils with Eraser Top, Bulk Pack of 24 Pencil - For Professionals, Artists, Designers, Teachers",exact
# 2 pencils not sharpened,"Emraw Pre Sharpened No 2 HB Wood Cased Pencils with Eraser Top, Bulk Pack of 24 Pencil - for Kids, Students, Teachers, Office and Home Use",substitute
# 2 pencils not sharpened,Emraw Colorful Round No 2 HB Wood Cased Glitter Pencils with Eraser Top - Pack of 16 Unsharpened Sparkling Bright Pencils,exact
# 2 pencils not sharpened,"Emraw Pre Sharpened Round Primary Size No 2 Jumbo Pencils for Preschoolers, Elementary Kids - Pack of 8 Premium Fat Pencils",irrelevant
